drugbank_id	atc
DB00446	J01BA01
DB00446	S03AA08
DB00447	J01DC08
DB00448	A02BC03
DB00448	A02BD02
DB00448	A02BD07
DB00448	A02BD09
DB00448	A02BD10
DB00448	A02BD03
DB00448	A02BC53
DB00449	S01EA02
DB00450	N05AD08
DB00451	H03AA01
DB00452	D09AA01
DB00452	R01AX08
DB00452	S01AA07
DB00453	J01AA11
DB00454	N02AB02
DB00454	N02AB72
DB00454	N02AB52
DB00454	N02AG03
DB00455	R06AX13
DB00456	J01DB03
DB00457	C02LE01
DB00457	C02CA01
DB00458	N06AA02
DB00459	D05BB02
DB00460	S01LA01
DB00461	M01AX01
DB00462	C02CA01
DB00463	N03AA30
DB00464	C05BB04
DB00465	M01AB15
DB00465	S01FB51
DB00465	S01BC05
DB00466	S01BC05
DB00467	J01MA04
DB00468	M09AA72
DB00468	P01BC01
DB00469	M01AC02
DB00470	A04AD10
DB00471	R03DC03
DB00471	R03DC53
DB00472	N06CA03
DB00472	N06AB03
DB00473	N06AB03
DB00474	N05CB01
DB00474	N01AF01
DB00474	N05CA15
DB00475	N05BA02
DB00476	N06AX21
DB00477	N05AA01
DB00478	J05AC02
DB00479	S01AA21
DB00479	D06AX12
DB00479	J01GB06
DB00479	J01RA06
DB00480	L04AX04
DB00481	G03XC01
DB00482	N02AJ16
DB00482	M01AH01
DB00482	G01AE10
DB00482	L01XX33
DB00482	C08CA51
DB00483	C08CA51
DB00484	D11AX21
DB00484	S01GA07
DB00484	S01EA05
DB00485	J01CR50
DB00485	J01CF01
DB00486	A04AD11
DB00487	J01MA03
DB00488	L01XX03
DB00489	C07AA07
DB00489	C07BA07
DB00489	C07FX02
DB00490	N05BE01
DB00491	A10BF02
DB00492	C09BA09
DB00492	C09AA09
DB00493	J01DD01
DB00494	N04BX02
DB00495	J05AR04
DB00495	J05AF01
DB00495	J05AR05
DB00495	J05AR01
DB00496	G04BD10
DB00497	N02AA56
DB00497	N02AA05
DB00497	N02AA55
DB00497	N02AJ18
DB00497	N02AJ17
DB00497	N02AJ19
DB00498	B01AA02
DB00499	L02BB01
DB00500	M01AB03
DB00500	M02AA21
DB00501	A02BA51
DB00501	A02BA01
DB00502	N05AD01
DB00503	J05AP53
DB00503	J05AR10
DB00503	J05AE03
DB00503	J05AR23
DB00503	J05AR26
DB00503	J05AP52
DB00504	J05AP52
DB00505	A03AB08
DB00507	P01AX11
DB00508	N05AA05
DB00509	C10AX01
DB00511	C01AA01
DB00512	J01XA01
DB00512	A07AA09
DB00512	S01AA28
DB00513	B02AA01
DB00514	R05DA09
DB00514	N07XX59
DB00515	L01XA01
DB00516	N07XX59
DB00517	N07XX59
DB00518	P02CA03
DB00519	C09AA10
DB00519	C09BB10
DB00520	J02AX04
DB00521	S01ED55
DB00521	S01ED05
DB00521	C07AA15
DB00522	V04CK03
DB00523	L01XF02
DB00523	D11AH04
DB00524	C03EA12
DB00524	G01AE10
DB00524	C03BA08
DB00525	D01AE18
DB00526	L01XA03
DB00527	D04AB02
DB00527	S01HA06
DB00527	S02DA04
DB00527	N01BB06
DB00527	C05AD04
DB00528	C09DB08
DB00528	C09BB02
DB00528	C08CA13
DB00529	J05AD01
DB00530	L01EB02
DB00531	L01AA01
DB00532	N03AB04
DB00532	N03AB54
DB00533	M01AH02
DB00534	N03AB54
DB00535	J01DD15
DB00536	N03AB54
DB00537	J01RA11
DB00537	S03AA07
DB00537	J01MA02
DB00537	S02AA15
DB00537	J01RA10
DB00537	J01RA12
DB00537	S01AE03
DB00538	V08CA06
DB00539	L02BA02
DB00540	N06AA10
DB00541	L01CA02
DB00542	C09BA07
DB00542	C09AA07
DB00543	N06AA17
DB00544	L01BC52
DB00544	L01BC02
DB00545	N07AA02
DB00546	N05BA07
DB00547	D07AC03
DB00547	D07XC02
DB00548	D10AX03
DB00549	R03DC01
DB00550	H03BA02
DB00551	G04BX03
DB00552	L01XX08
DB00553	D05BA02
DB00553	D05AD02
DB00554	M01AC01
DB00554	M02AA07
DB00554	S01BC06
DB00555	N03AX09
DB00556	S01BC06
DB00557	N05BB01
DB00557	N05BB51
DB00558	J05AH01
DB00559	G01AE10
DB00559	C02KX01
DB00560	J01AA20
DB00560	J01AA12
DB00561	R07AB01
DB00562	G01AE10
DB00563	L04AX03
DB00563	L01BA01
DB00564	N03AF01
DB00565	M03AC11
DB00566	L01BA01
DB00567	J01DB01
DB00568	N07CA52
DB00568	N07CA02
DB00569	B01AX05
DB00570	L01CA01
DB00571	C07FX01
DB00571	C07AA05
DB00571	C07BA05
DB00572	S01FA01
DB00572	A03CB03
DB00572	A03BA01
DB00573	M01AE04
DB00574	A08AA02
DB00574	N03AX26
DB00575	S01EA04
DB00575	C02LC01
DB00575	C02AC01
DB00575	N02CX02
DB00575	C02LC51
DB00576	J01EB02
DB00576	B05CA04
DB00576	G01AE10
DB00576	S01AB01
DB00576	D06BA04
DB00577	J05AB11
DB00578	J01CR50
DB00578	J01CA03
DB00579	A08AA05
DB00580	M01AH03
DB00581	A06AD61
DB00581	A06AD11
DB00582	J02AC03
DB00583	A16AA01
DB00584	C09BA02
DB00584	C09BB06
DB00584	C09BB02
DB00584	C09AA02
DB00585	A02BA04
DB00586	S01CC01
DB00586	S01BC03
DB00586	M01AB55
DB00586	M02AA15
DB00586	M01AB05
DB00586	D11AX18
DB00587	D11AX18
DB00588	D11AX18
DB00589	G02CB02
DB00589	N02CA07
DB00590	C02CA04
DB00591	S01CA10
DB00591	D07BC02
DB00591	S02BA08
DB00591	C05AA10
DB00591	S01BA15
DB00591	D07AC04
DB00591	S02CA05
DB00591	D07CC02
DB00592	P02CB01
DB00593	N03AD01
DB00593	N03AD51
DB00594	C03DB01
DB00595	J01AA06
DB00595	S01AA04
DB00595	J01AA56
DB00595	D06AA03
DB00595	G01AA07
DB00595	J01AA20
DB00596	D05AX55
DB00596	D07AC21
DB00597	V08CA04
DB00598	C07BG01
DB00598	C07CG01
DB00598	C07AG01
DB00599	N01AF03
DB00599	N05CB01
DB00599	N05CA19
DB00600	D11AX13
DB00601	J01XX08
DB00602	P02CF01
DB00602	D11AX22
DB00603	G03AA08
DB00603	G03DA02
DB00603	G03FB06
DB00603	G03FA12
DB00603	L02AB02
DB00603	G03AA17
DB00603	G03AC06
DB00604	A03FA02
DB00605	M01AB02
DB00606	G01AE10
DB00606	C03AB09
DB00606	C03AA09
DB00607	J01CR50
DB00607	J01CF06
DB00608	P01BB52
DB00608	P01BA01
DB00609	J04AD03
DB00610	C01CA09
DB00611	N02AF01
DB00612	C07FX04
DB00612	C07BB07
DB00612	C07AB07
DB00612	C09BX05
DB00612	C09BX02
DB00612	C09BX04
DB00612	C07FB07
DB00613	P01BF03
DB00613	P01BA06
DB00614	G01AX06
DB00614	P01AB51
DB00615	J04AB04
DB00615	A02BD16
DB00616	A02BD16
DB00617	N03AC01
DB00618	J01AA01
DB00618	D06AA01
DB00618	J01AA20
DB00619	L01EA01
DB00620	D07AB09
DB00620	R01AD11
DB00620	R03BA06
DB00620	D07BB03
DB00620	A01AC01
DB00620	H02AB08
DB00620	D07CB01
DB00620	S01BA05
